"ID","CH","F","AMP","CHIRP","DENS","DISPERSION","DISPERSION_P","DUR","FFT","FRNG2","FRQ","FRQ1","FRQ2","FVAR2","FWHM","ISA_M","ISA_S","ISA_T","MINS","N","N01","N02","NE","NOSC","Q","SEC_AMP","SEC_P2P","SEC_TROUGH","SYMM","SYMM2","SYMM_AMP","SYMM_TROUGH"
"study_001","C4M1",10,33.2368457133419,-0.0470600709402714,1.59132007233273,1.94421936758894,4.86864731084618e-30,0.878056818181819,9.81534090909091,2.27873857120023,9.66142052606275,9.99337872938804,9.94631865844777,0.503398411718899,0.376625,2.83784919128828,1.78333023043456,784.665301391208,276.5,440,551,440,553,8.55227272727273,0.248715869679309,0.429641173737868,0.419261984477596,0.423082789908208,0.479255293769789,0.300530079647745,0.491871111209826,0.484739799823335
"study_002","C4M1",10,39.6661300266236,-0.0784269363252522,1.5049115913556,1.95373244793488,1.31750784022864e-21,0.859425587467363,9.78500326370757,2.39159204090007,9.65781202736899,10.0116519334673,9.93322499714208,0.556120086463685,0.354216710182768,2.80076843324716,1.86108502940314,712.795566261402,254.5,383,461,383,509,8.36422976501306,0.165126681659805,0.425022710538536,0.41086839499543,0.414131912755279,0.476155769141635,0.296990037661138,0.49279276044874,0.481735031473512
"study_001","C4M1",11,30.6017477424163,-0.159375357085002,1.45750452079566,1.63897579746106,2.96595133197302e-13,0.894578163771713,10.7712662841191,2.54399273744459,10.5117075744005,10.9332985888422,10.7739232317572,0.552989927973385,0.373275434243176,2.67770930077236,1.83718764680783,740.386621663557,276.5,403,540,403,553,9.4863523573201,0.401452656780697,0.447843346498551,0.440452280278443,0.440581835570535,0.479985140743868,0.310389359839845,0.491746222787051,0.483612771675238
"study_002","C4M1",11,37.0939639002722,-0.111493983400898,1.43025540275049,2.0636518992818,1.31388060873641e-17,0.881662087912088,10.8602335164835,2.69094840889645,10.6663333191983,11.0307671547997,10.9192731713988,0.593756159761026,0.335013736263736,2.99383022472274,2.09321371481302,761.929792191938,254.5,364,473,364,509,9.49175824175824,0.27872933477123,0.423665239350108,0.41894326130433,0.418312806683303,0.466284907705026,0.29754715797276,0.474806111779975,0.470253644352878
"study_001","C4M1",12,30.76209173526,-0.204804091286107,1.22603978300181,1.65841562994314,1.08886000375055e-14,0.850088495575221,11.7308490044248,2.5432584242777,11.4372687047437,11.9405376389264,11.7357335476402,0.551913662977129,0.325663716814159,2.5708381426957,2.09686355886537,710.836746455361,276.5,339,453,339,553,9.75516224188791,0.476707009349212,0.385712853660726,0.379127159826321,0.386260374318463,0.449219650178161,0.314397857329808,0.458204950434238,0.458564539208853
"study_002","C4M1",12,36.6834909185991,-0.0545412327144289,1.32023575638507,2.47569835020622,7.2317151473214e-14,0.876369047619047,11.9373139880952,2.94084003985486,11.6264295566097,12.0167862389568,11.9622450062423,0.669353033194064,0.306994047619048,3.11215717413826,2.35727381195889,792.044000818188,254.5,336,459,336,509,10.2827380952381,0.248149534243864,0.420852317196908,0.417218718771503,0.419778406908993,0.479899407657971,0.322129156899271,0.485939629857872,0.48841947703671
"study_001","C4M1",13,29.7655130441062,-0.274538307943959,1.13924050632911,1.67785829307569,1.79101119200105e-25,0.798444444444445,12.7616567460317,2.59561738884972,12.452465641597,13.0064709946327,12.7319326866887,0.560638078561562,0.297380952380953,2.49476857349018,2.18985241450804,689.803510570034,276.5,315,413,315,553,9.98253968253968,0.501952199662126,0.366195543360911,0.367328073298104,0.364206932564789,0.479203667942321,0.290599563928241,0.483553116626549,0.482656354227626
"study_002","C4M1",13,36.555235177513,-0.0798152869161916,1.19449901768173,2.80299419809365,3.07921300592752e-24,0.903371710526315,12.9266036184211,3.36058726696762,12.6306258082917,13.0999211392378,13.0201058523216,0.806267773817775,0.275674342105263,3.17590096964827,2.6587723578141,808.266796775486,254.5,304,444,304,509,11.5263157894737,0.224646838119322,0.409910674893628,0.405853567285636,0.405426433064378,0.471821270583984,0.311785611253376,0.48213497872561,0.473444507612466
"study_001","C4M1",14,30.6339145975156,-0.115187801915159,0.918625678119349,1.69335558598652,1.62028372674288e-10,0.756692913385827,13.7380044291339,2.71193266797113,13.3351072187426,13.8605955823166,13.7454077804014,0.604943861403759,0.283188976377953,2.32887245557859,2.53517021247039,643.93323396748,276.5,254,332,254,553,10.1889763779528,0.467555272281454,0.367822603148748,0.363733806080233,0.360069194079408,0.487529702357216,0.250475627410706,0.501528503765283,0.490216768637528
"study_002","C4M1",14,37.2941021710782,-0.0945011191124269,1.06090373280943,2.99394867308252,1.01196891509118e-15,1.0132037037037,13.8765914351852,4.03413508735836,13.6228884686283,14.0633965445326,13.9688954254201,1.01783022881416,0.266722222222222,3.43206634413215,3.23504031326531,873.460884581633,254.5,270,428,270,509,13.9444444444444,0.174997296754504,0.435307235700446,0.435601885798539,0.438181061857764,0.456859024033008,0.318301986395436,0.461447140089234,0.462138297478701
"study_001","C4M1",15,30.6981387350082,-0.0418079237322231,0.730560578661845,1.65751901277083,1.28189162735811e-08,0.771732673267327,14.6223313737624,3.11394209246847,14.2631184112477,14.7554049524356,14.7135970287034,0.776976193651932,0.264579207920792,2.24353334311349,3.07097509589545,620.336969370881,276.5,202,275,202,553,11.1509900990099,0.381380052354746,0.353082752779387,0.350081782102434,0.354210961399832,0.466813683603375,0.289584883739682,0.482887189540915,0.470905151253502
"study_002","C4M1",15,39.1093069965958,-0.0145457098957472,0.884086444007859,3.25769028871388,6.1404456494856e-16,1.009,14.8576388888889,4.12946098956535,14.5631852133652,14.9921776013057,14.97763189141,1.0794799356567,0.2594,3.36220389711876,3.80302618585211,855.680891816724,254.5,225,369,225,509,14.8311111111111,0.108419568280058,0.454808012406339,0.455662467612728,0.455381065658301,0.451699181355928,0.333685761141827,0.459380259045592,0.453990909437891
"study_001","C4M1",16,32.9620878231572,0.0158891870729195,0.564195298372514,1.86229561501301,5.42126486704634e-12,0.903557692307693,15.7038762019231,4.06479866216362,15.3457046767036,15.8591262666558,15.8750154537287,1.00906733870122,0.233621794871795,2.1215065363548,3.76023434168014,586.596557302102,276.5,156,224,156,553,14.0705128205128,0.136090750974707,0.386115127486779,0.404079309167757,0.407241812233272,0.472612618006664,0.331964194419109,0.473025497355768,0.480413728705638
"study_002","C4M1",16,38.8479793346534,0.0133840229353272,0.923379174852652,4.04412799463892,3.9628633615124e-21,0.991893617021276,15.8377659574468,4.81761407162058,15.5408235136389,16.0019453598854,16.0153293828207,1.29184559143314,0.233765957446808,3.58109473721829,3.87824940690236,911.388610622055,254.5,235,361,235,509,15.5297872340426,0.0129004362216573,0.463173738547058,0.45833397199424,0.458999141884144,0.454747738895582,0.329992597345773,0.460279624305122,0.455147525764866
